Feature,Importance
Total Charges,0.1493722985465796
Monthly Charges,0.1422588008220385
Tenure Months,0.1326450063537274
CLTV,0.1276713411250207
Contract,0.07852699563083734
Tech Support,0.043337790987028876
Online Security,0.042242466225822034
Payment Method,0.04071445091942878
Dependents,0.037493593815517826
Internet Service,0.02656972327295965
Online Backup,0.02548002066949799
Gender,0.0222149125640839
Paperless Billing,0.02120465407965866
Multiple Lines,0.020998728722349713
Partner,0.019535154432200934
Device Protection,0.01876552386580672
Senior Citizen,0.017061237242551763
Streaming TV,0.014990266043471588
Streaming Movies,0.014337514130723449
Phone Service,0.004579520550694597
